relation1,relation2,comparison_type,pair1_word1,pair1_word2,pair2_word1,pair2_word2,forward_rating,forward_n,backward_rating,backward_n
6a,6d,between-subtype,ecstasy,sad,old,youth,5.50980392157,51,4.88,50
5h,5a,between-subtype,drop,slippery,sunburn,painful,2.9,50,2.86,50
9g,9e,between-subtype,puberty,hormones,floor,wall,2.26,50,2.72,50
1c,1c,within-subtype,container,jug,meat,beef,6.02,50,5.56,50
3e,3h,between-subtype,baby,adult,flood,water,2.29411764706,51,1.9,50
5e,5e,within-subtype,tree,grow,boxer,fight,5.64,50,5.06,50
9h,9c,between-subtype,question,answer,pool,swimming,3.64,50,3.5,50
9h,9b,between-subtype,ingestion,digestion,mine,coal,2.86,50,2.44,50
2j,2c,between-subtype,criminal,lawfulness,book,chapter,1.7,50,2.24,50
8d,8d,within-subtype,advertise,promote,breathe,live,4.58823529412,51,4.94,50
7d,5d,between-type,paint,canvas,curious,investigation,3.44,50,2.88,50
4a,4e,between-subtype,normal,abnormal,lazy,productive,6.26,50,5.86,50
7h,2h,between-type,driver,license,doctor,phd,6.22,50,5.8431372549,51
8b,8b,within-subtype,pain,medicate,loneliness,socialize,5.44,50,5.12,50
1d,1d,within-subtype,clothes,blouses,clothes,shirts,6.35294117647,51,6.56,50
1b,1b,within-subtype,preservative,salt,dish,plate,4.84,50,5.32,50
4d,4g,between-subtype,forward,backward,fun,reserved,4.44,50,5.0,50
7c,7c,within-subtype,hairdresser,comb,pitcher,baseball,6.1,50,4.84,50
2a,2b,between-subtype,fish,fin,album,songs,5.82352941176,51,4.84,50
2b,2b,within-subtype,paragraph,word,senate,senators,5.4,50,5.56,50
9i,9i,within-subtype,ear,earplug,shirt,button,4.5,50,3.74,50
3h,3h,within-subtype,terror,fear,waning,sunlight,2.1,50,2.47058823529,51
9h,9g,between-subtype,introduction,speech,senescence,wheelchair,2.58,50,2.33333333333,51
3a,3c,between-subtype,cellphone,mobile,worried,frantic,4.07843137255,51,3.88,50
4a,4g,between-subtype,rich,poor,hard,simple,6.22,50,6.1,50
5b,5h,between-subtype,wooden,burned,consume,edible,3.48,50,3.3137254902,51
8d,8c,between-subtype,burnish,shine,chemical,firework,3.12,50,2.66,50
8h,8a,between-subtype,moisturize,dryness,loss,grief,1.92,50,2.06,50
6b,6a,between-subtype,immovable,shaken,darkness,light,5.0,50,4.9,50
7f,6b,between-type,tip,waiter,inexorable,halted,1.84,50,2.54,50
2g,2g,within-subtype,sweater,wool,house,bricks,6.56862745098,51,6.44,50
5c,5d,between-subtype,scholar,intelligence,lethargic,fatigue,4.47058823529,51,4.48,50
1e,1a,between-subtype,king,Arthur,weapon,spear,5.39215686275,51,4.72,50
5g,5f,between-subtype,paint,artistic,buoyant,float,3.72,50,3.34,50
4h,4h,within-subtype,pimple,skin,leukemia,blood,5.06,50,5.72,50
6f,6b,between-subtype,cheerful,repine,impermeable,penetrated,3.92,50,4.06,50
8h,8h,within-subtype,locks,theft,rest,exhaustion,4.06,50,4.4,50
2j,2f,between-subtype,graduate,homework,automobile,trunk,2.52,50,3.04,50
9c,9h,between-subtype,library,studying,title,story,2.88235294118,51,2.72,50
5e,5e,within-subtype,fire,burn,baby,cry,5.17647058824,51,5.86,50
3h,3h,within-subtype,flood,water,acceleration,speed,4.43137254902,51,3.94,50
2c,2i,between-subtype,book,page,unemployed,job,1.76,50,1.96,50
9i,9d,between-subtype,shirt,button,garage,wrench,3.74509803922,51,4.76,50
7a,7h,between-subtype,artist,paint,insured,policy,3.43137254902,51,3.33333333333,51
7d,7d,within-subtype,sweep,floor,clean,house,6.02,50,5.96,50
6d,6g,between-subtype,old,youth,stutter,steadily,4.26,50,4.39215686275,51
6d,6h,between-subtype,whole,broken,clean,messy,5.86,50,6.4,50
9f,9i,between-subtype,winter,sledding,vine,grape,2.4,50,3.1,50
1d,1d,within-subtype,beverages,sodas,fish,salmon,6.04,50,6.2,50
6b,6b,within-subtype,impermeable,penetrated,invulnerable,harmed,5.68,50,5.9,50
9h,9h,within-subtype,shoot,recoil,previews,movie,2.74,50,3.1,50
6c,6a,between-subtype,anxiety,contentedness,object,intangible,3.78,50,4.16,50
5h,5i,between-subtype,repair,broken,poison,die,2.48,50,1.92,50
9g,9g,within-subtype,toddler,walking,infancy,pacifier,3.28,50,3.62,50
1b,1d,between-subtype,clothing,shirt,fish,salmon,6.72549019608,51,6.4,50
8f,5c,between-type,punch,pain,ice,cold,5.88,50,4.90196078431,51
6h,6g,between-subtype,discourage,confident,hurry,lazily,4.0,50,4.3,50
6c,2a,between-type,slavery,freedom,movie,scene,1.8,50,1.64,50
2a,2a,within-subtype,dog,tail,fish,fin,6.6,50,6.8,50
6e,6e,within-subtype,mute,speak,miser,splurge,5.32,50,5.16,50
1d,1d,within-subtype,jewelry,rings,animals,cows,6.50980392157,51,6.18,50
4b,4d,between-subtype,dirty,clean,ahead,behind,5.98,50,5.84,50
3c,3f,between-subtype,breathing,hyperventilating,pillow,cushion,2.8431372549,51,2.54,50
3b,3b,within-subtype,jog,run,affection,love,5.68,50,5.4,50
9e,9e,within-subtype,bank,river,shore,lake,6.36,50,6.38,50
5a,5a,within-subtype,plain,flat,mogul,wealth,3.62,50,3.78,50
8f,8g,between-subtype,fire,warmth,knife,cut,5.25490196078,51,4.98,50
1a,1c,between-subtype,dog,chihuahua,mammal,gorilla,5.84,50,5.6,50
2d,2d,within-subtype,game,referee,zoo,lion,4.17647058824,51,4.62,50
6h,1c,between-type,sand,rough,container,jug,2.54,50,2.24,50
8b,8d,between-subtype,dirty,bathe,bathe,clean,3.1,50,2.47058823529,51
9b,9b,within-subtype,theater,play,kitchen,food,5.96,50,5.76,50
2j,2a,between-subtype,prostitute,virginity,bicycle,wheel,1.94,50,1.46,50
8h,8e,between-subtype,antibiotic,infection,addict,fix,2.98,50,3.8,50
4h,4h,within-subtype,miscarriage,pregnancy,pimple,face,3.14,50,3.24,50
3b,3b,within-subtype,happiness,joy,chuckle,guffaw,4.43137254902,51,4.86,50
9e,9g,between-subtype,guardrail,highway,senescence,cane,2.46,50,3.0,51
2g,2g,within-subtype,sock,thread,team,players,5.76,50,5.22,50
5g,5f,between-subtype,hit,aggressive,dense,sink,2.66,50,3.04,50
5d,5e,between-subtype,angry,belligerence,baby,cry,3.3,50,2.94,50
9h,9f,between-subtype,text,index,birthday,celebration,3.07843137255,51,2.54,50
3f,3b,between-subtype,tent,house,happiness,joy,3.74,50,3.12,50
10c,10f,between-subtype,seascape,ocean,bushes,trap,1.62,50,2.09803921569,51
9b,9b,within-subtype,studio,art,restaurant,meals,6.34,50,6.0,50
8c,8c,within-subtype,mouse,computer,battery,flashlight,5.16,50,4.44,50
3g,3b,between-subtype,canoe,kayak,love,adore,5.26,50,4.58,50
4a,4a,within-subtype,slow,fast,up,down,6.24,50,6.38,50
5d,5c,between-subtype,emotional,turmoil,psychotic,insanity,5.14,50,4.1,50
5f,7g,between-type,round,roll,criminal,handcuffs,2.74,50,2.42,50
9c,9d,between-subtype,bar,drinking,sew,needle,3.90196078431,51,3.25490196078,51
3a,3a,within-subtype,raise,elevate,house,dwelling,4.44,50,4.72,50
5d,5d,within-subtype,happy,contentment,angry,belligerence,5.3137254902,51,6.1,50
3c,3c,within-subtype,angry,enraged,hot,burning,6.12,50,5.44,50
2i,2b,between-subtype,ocean,dryness,arsenal,weapons,1.58,50,1.36,50
8f,9c,between-type,automobile,transportation,church,worship,5.54,50,4.56,50
1e,1e,within-subtype,city,Memphis,planet,Earth,6.74,50,6.62,50
9h,9c,between-subtype,conception,birth,store,shopping,3.72,50,2.94,50
9d,9b,between-subtype,kitchen,pot,dairy,milk,3.56,50,3.06,50
10c,10b,between-subtype,replica,artwork,kiss,love,2.0,50,2.4,50
1c,6c,between-type,beverage,water,deceit,truth,1.38,50,1.88,50
6d,8b,between-type,old,young,coldness,shiver,1.98,50,1.86,50
5a,7h,between-type,bigot,hateful,doctor,phd,3.41176470588,51,2.96,50
8h,8e,between-subtype,rest,exhaustion,farmer,harvest,2.06,50,1.74,50
9c,9f,between-subtype,store,shopping,bedtime,sleeping,4.36,50,5.68,50
4e,4e,within-subtype,old,young,thin,chubby,5.8,50,5.84,50
3h,3e,between-subtype,heat,temperature,child,adult,1.94,50,2.24,50
6b,6e,between-subtype,inexorable,halted,immortal,die,4.38,50,4.44,50
9f,9f,within-subtype,infancy,teething,autumn,equinox,3.76,50,3.64,50
8c,8c,within-subtype,battery,phone,wood,fireplace,6.42,50,6.04,50
7e,7e,within-subtype,pay,debtor,preach,parishioner,4.9,50,4.39215686275,51
4a,5a,between-type,large,small,tycoon,wealthy,1.64705882353,51,1.46,50
4e,4e,within-subtype,precise,clumsy,tall,short,5.98,50,5.66,50
8f,8f,within-subtype,punch,pain,food,nourishment,5.82,50,4.82,50
6d,6a,between-subtype,invincible,defeated,integrity,dishonest,5.38,50,5.42,50
7e,7f,between-subtype,give,receiver,donation,charity,5.54,50,5.1568627451,51
10a,10a,within-subtype,diploma,education,crown,royalty,5.54,50,5.56,50
4f,10c,between-type,disastrous,peaceful,recording,sound,1.66,50,1.58,50
7g,7g,within-subtype,paper,pencil,clothes,iron,5.34,50,4.7,50
2b,2h,between-subtype,class,student,bird,feathers,4.78,50,4.68,50
8d,4f,between-type,speak,communicate,catastrophic,beneficial,1.5,50,1.52,50
4c,4c,within-subtype,abandon,embrace,agree,argue,4.92,50,5.22,50
8h,8h,within-subtype,knowledge,ignorance,money,poverty,5.76,50,6.47058823529,51
2h,2h,within-subtype,mother,children,words,letters,5.25490196078,51,3.82,50
2i,2i,within-subtype,woman,penis,deaf,hearing,4.56,50,3.96,50
8h,8h,within-subtype,immunization,disease,sun,darkness,4.72,50,5.08,50
5d,5a,between-subtype,illogical,confusion,tycoon,wealthy,3.64,50,3.46,50
2b,2d,between-subtype,pack,wolf,concert,musician,4.2,50,4.36,50
6b,4e,between-type,incomprehensible,understood,tedious,interesting,5.11764705882,51,5.1568627451,51
5e,5h,between-subtype,water,flow,fix,broken,2.38,50,2.14,50
4c,4c,within-subtype,fill,empty,peace,war,4.9,50,5.09803921569,51
1e,1b,between-subtype,state,Virginia,shoe,sandal,5.56,50,5.66,50
2e,2e,within-subtype,cooking,peeling,knitting,purling,5.29411764706,51,4.24,50
8b,8b,within-subtype,anger,yell,thirsty,drink,5.9,50,5.5,50
9e,9e,within-subtype,margin,paper,edge,cliff,5.56,50,5.7,50
8d,8g,between-subtype,burnish,shine,phone,call,3.3,50,3.26,50
5i,5h,between-subtype,fire,burnt,comfort,hurting,2.06,50,1.7,50
7a,1e,between-type,sculptor,sculpture,planet,Earth,2.18,50,2.48,50
10a,10a,within-subtype,wrinkle,age,cross,faith,4.16,50,5.6,50
6f,6f,within-subtype,cruel,help,perplexing,understood,4.13725490196,51,4.0,50
3b,3b,within-subtype,chuckle,guffaw,shriek,scream,5.3,50,5.28,50
6c,6c,within-subtype,deceit,truth,depression,joy,6.26,50,6.04,50
10f,10f,within-subtype,curtain,window,bushes,trap,3.1,50,3.32,50
7a,7g,between-subtype,florist,roses,criminal,handcuffs,3.26,50,3.88,50
10c,10c,within-subtype,recording,sound,signature,acknowledgment,4.02,50,4.52941176471,51
3c,3c,within-subtype,nudging,shoving,attraction,lust,5.04,50,4.6,50
2h,2e,between-subtype,bird,wings,baking,mixing,2.66,50,2.54,50
6c,9f,between-type,drought,water,summer,vacation,2.16,50,2.12,50
9e,9f,between-subtype,ditch,road,birthday,celebration,1.96,50,2.52,50
6h,6h,within-subtype,groom,unkempt,repair,damaged,5.82,50,5.70588235294,51
10f,10e,between-subtype,curtain,window,anthropology,people,3.16,50,2.38,50
9h,9h,within-subtype,introduction,speech,step,journey,5.84,50,5.24,50
7d,7d,within-subtype,teach,student,donate,charity,4.88235294118,51,5.48,50
8f,8f,within-subtype,automobile,transportation,food,nourishment,5.88,50,6.12,50
2h,2a,between-subtype,bird,feathers,dog,tail,6.2,50,6.3,50
3f,3h,between-subtype,ladder,stairs,goal,score,4.48,50,3.4,50
3a,3a,within-subtype,make,manufacture,run,sprint,5.25490196078,51,5.4,50
2h,2f,between-subtype,bird,feathers,supermarket,aisle,5.42,50,5.1,50
7h,6g,between-type,teacher,certificate,lie,honestly,1.74,50,1.56,50
3e,3c,between-subtype,baby,adult,fear,panic,3.26,50,2.8,50
7a,7a,within-subtype,florist,flowers,butcher,meat,6.7,50,6.68,50
2b,2b,within-subtype,band,musician,school,fish,5.80392156863,51,5.84,50
5a,5a,within-subtype,sunburn,painful,fire,heat,4.24,50,4.1,50
2i,2b,between-subtype,desert,water,band,musician,2.16,50,1.54,50
7h,7d,between-subtype,owner,deed,sweep,floor,2.24,50,2.0,50
3h,3h,within-subtype,dim,light,darken,color,4.1,50,5.38,50
4g,4g,within-subtype,obey,protest,enthusiastic,lazy,4.6,50,5.3,50
7a,7a,within-subtype,spinner,yarn,blacksmith,iron,6.08,50,5.94,50
1b,1e,between-subtype,clothing,sock,ocean,Indian,4.76470588235,51,5.28,50
9a,9c,between-subtype,closet,clothing,kitchen,cooking,4.48,50,4.8,50
3d,3d,within-subtype,fuck,rape,hurt,kill,4.88,50,4.6,50
9h,3d,between-type,previews,movie,negotiate,blackmail,2.88,50,2.78,50
2g,2g,within-subtype,wine,alcohol,atmosphere,gas,4.46,50,5.42,50
7f,7f,within-subtype,education,student,medal,hero,5.13725490196,51,5.14,50
2g,5g,between-type,meal,food,withdrawal,timid,3.44,50,3.12,50
5a,5b,between-subtype,water,wet,dusty,dusted,2.56862745098,51,3.88,50
6d,6d,within-subtype,pretty,ugly,deceptive,honest,6.26,50,6.06,50
7b,7b,within-subtype,preacher,parishioner,parent,child,4.98,50,4.78,50
9i,2j,between-type,tree,branch,divorcee,husband,2.28,50,2.84,50
3b,3f,between-subtype,disdain,hatred,shovel,spoon,2.9,50,3.28,50
7b,7c,between-subtype,vet,animal,surgeon,scalpel,2.54901960784,51,3.2,50
7a,7g,between-subtype,architect,building,blackboard,chalk,2.54,50,3.24,50
3c,3c,within-subtype,homely,grotesque,confident,arrogance,3.94117647059,51,4.5,50
3h,3h,within-subtype,silence,noise,flood,water,1.52,50,1.7,50
2c,2e,between-subtype,book,chapter,wrapping,taping,3.26,50,3.06,50
5a,5a,within-subtype,water,wet,murderer,evil,5.18,50,5.3,50
5d,5d,within-subtype,mad,anger,pensive,thought,5.24,50,5.01960784314,51
8g,8c,between-subtype,lotion,moisturize,bulb,flashlight,2.5,50,3.0,51
6g,6d,between-subtype,stare,intermittently,full,empty,2.92,50,2.02,50
9a,9i,between-subtype,zoo,animals,cloth,stitch,3.76,50,3.7,50
5a,5a,within-subtype,diamond,shiny,mogul,wealth,4.74,50,3.84,50
3e,3b,between-subtype,seedling,tree,giggle,laugh,4.64,50,4.9,50
5a,5b,between-subtype,fire,heat,volatile,combustible,4.12,50,4.32,50
6h,4e,between-type,clean,messy,old,young,6.33333333333,51,5.98,50
7d,7d,within-subtype,eat,food,paint,picture,5.48,50,5.24,50
6g,6g,within-subtype,stare,intermittently,insult,kindly,2.98,50,3.02,50
3h,3h,within-subtype,decrescendo,sound,darken,color,4.46,50,4.38,50
2j,2e,between-subtype,husband,bachelorhood,cooking,chopping,2.60784313725,51,1.72549019608,51
6a,6h,between-subtype,careful,reckless,destroy,alive,3.82,50,3.8,50
1d,1e,between-subtype,birds,crows,city,Dallas,5.96,50,5.5,50
2d,2d,within-subtype,zoo,animal,carnival,rides,6.24,50,6.22,50
4d,4d,within-subtype,rise,sink,under,over,5.38,50,5.72,50
9f,9b,between-subtype,winter,sledding,refinery,oil,3.36,50,2.42,50
5h,5i,between-subtype,wash,soiled,iron,pressed,2.52,50,2.29411764706,51
5d,5f,between-subtype,happy,contentment,sturdy,strong,5.56,50,5.24,50
5a,5a,within-subtype,bigot,hateful,pillow,soft,5.08,50,5.84,50
10e,9g,between-type,criminology,crimes,adolescence,acne,2.54901960784,51,2.64,50
9d,9a,between-subtype,sew,needle,store,products,4.0,50,2.3,50
5e,5e,within-subtype,sun,shine,shovel,dig,5.54,50,4.34,50
3a,3a,within-subtype,pants,trousers,boat,ship,5.92156862745,51,6.2,50
9e,9e,within-subtype,bank,river,baseboard,wall,5.64,50,5.38,50
2f,2i,between-subtype,automobile,trunk,jesus,sins,1.92156862745,51,1.76,50
6b,6h,between-subtype,dead,revived,teach,ignorant,2.96,50,3.54,50
1e,1e,within-subtype,ocean,Pacific,university,Yale,6.62,50,6.44,50
7d,7d,within-subtype,write,paper,mend,clothing,4.84,50,4.60784313725,51
8h,8h,within-subtype,sunscreen,burns,moisturize,dryness,5.96,50,5.4,50
6f,8g,between-type,fearless,hide,calculator,add,1.78,50,1.52,50
3d,3h,between-subtype,push,shove,force,pressure,5.1,50,5.1,50
5g,5d,between-subtype,insult,unkind,illogical,confusion,4.72,50,4.9,50
10a,10d,between-subtype,crossbones,poison,outline,paper,3.1,50,2.14,50
3g,3g,within-subtype,salt,pepper,almond,pecan,4.6,50,4.18,50
5c,5c,within-subtype,winner,victory,pacifist,peace,5.2,50,5.12,50
4h,4h,within-subtype,miscarriage,pregnancy,chip,porcelain,3.38,50,4.12,50
5c,5e,between-subtype,idiot,stupidity,tree,grow,2.74,50,3.19607843137,51
7c,7e,between-subtype,doctor,stethoscope,treat,patient,2.92,50,2.78,50
9d,9e,between-subtype,church,pew,edge,cliff,3.58823529412,51,2.82352941176,51
2f,2d,between-subtype,church,sanctuary,party,guests,3.26,50,2.78,50
8h,2h,between-type,locks,theft,mall,shops,2.0,50,2.1,50
6a,6a,within-subtype,tidy,messy,solid,liquid,5.5,50,5.64,50
5c,5a,between-subtype,pacifist,peace,blanket,soft,3.54,50,4.1,50
10e,1a,between-type,meteorology,weather,bird,swan,3.26,50,3.06,50
5i,5c,between-subtype,stab,wound,pacifist,peace,4.18,50,3.18,50
8b,8f,between-subtype,sadness,cry,food,nourishment,4.52,50,3.62,50
8h,8h,within-subtype,fungicide,mold,acetaminophen,headache,5.2,50,5.74,50
5a,5d,between-subtype,bigot,hateful,provocative,controversy,4.02,50,3.78431372549,51
5h,5f,between-subtype,drop,slippery,generous,give,3.22,50,2.58,50
9d,9d,within-subtype,garage,car,office,computer,6.12,50,6.22,50
1a,1a,within-subtype,bird,robin,bush,azalea,6.04,50,6.37254901961,51
8d,8a,between-subtype,sleep,rest,injury,pain,5.52,50,5.08,50
2h,2h,within-subtype,employee,job,proprietor,employees,3.78,50,3.4,50
9h,9h,within-subtype,conception,birth,question,answer,4.56,50,4.02,50
5i,5a,between-subtype,smash,flat,pillow,soft,2.66,50,3.08,50
9h,9h,within-subtype,previews,movie,narrative,epilogue,3.90196078431,51,3.84,50
6g,6g,within-subtype,perseverate,quickly,whisper,loudly,3.26,50,3.34,50
2i,2g,between-subtype,bird,lips,wall,bricks,2.18,50,1.44,50
4h,4h,within-subtype,pimple,skin,miscarriage,pregnancy,3.60784313725,51,3.25490196078,51
10b,10b,within-subtype,yell,anger,wave,acknowledgment,5.52,50,5.18,50
10e,10e,within-subtype,dermatology,skin,geology,earth,6.58,50,6.56862745098,51
5h,5i,between-subtype,repair,broken,divide,parts,3.2,50,2.32,50
3e,3e,within-subtype,associate,partner,puppy,dog,3.86,50,4.64,50
9e,9a,between-subtype,ditch,road,cupboard,dishes,2.96078431373,51,2.5,50
8c,8b,between-subtype,monitor,computer,dirty,bathe,2.26,50,2.0,50
4c,4c,within-subtype,abandon,embrace,attract,repel,6.3137254902,51,5.54,50
6c,6c,within-subtype,drought,water,slums,prosperity,5.86274509804,51,5.82,50
8c,8c,within-subtype,remote,tv,mouse,computer,6.72,50,6.54,50
1e,1a,between-subtype,prince,Charles,appliance,refrigerator,5.39215686275,51,5.58823529412,51
2c,2d,between-subtype,body,cell,party,guests,5.26,50,5.5,50
9g,9g,within-subtype,morning,sunrise,elderly,retirement,4.76,50,4.18,50
6h,6h,within-subtype,discourage,confident,clean,messy,4.92,50,5.02,50
3c,3c,within-subtype,nudging,shoving,wet,saturated,4.94,50,4.6,50
7g,7c,between-subtype,carpet,vacuum,surgeon,scalpel,3.7,50,3.54,50
5e,5g,between-subtype,rabbit,hop,laugh,happy,3.2,50,2.9,50
5c,5c,within-subtype,ice,cold,psychotic,insanity,5.18,50,4.8,50
5i,5c,between-subtype,exercise,fatigue,child,youth,2.4,50,2.58,50
1b,1d,between-subtype,lubricant,oil,clothing,shirts,5.0,50,5.24,50
5f,5f,within-subtype,cowardly,surrender,golden,gleam,3.6,50,4.28,50
9g,9a,between-subtype,senescence,cane,aquarium,fish,3.02,50,2.58,50
9a,9a,within-subtype,kitchen,food,classroom,students,6.25490196078,51,6.14,50
7b,7b,within-subtype,accountant,taxpayer,parent,child,4.4,50,3.72,50
2h,2h,within-subtype,doctor,phd,expert,experience,5.04,50,5.32,50
2c,2h,between-subtype,quarter,pennies,words,letters,5.5,50,4.64,50
7g,7g,within-subtype,wall,paint,hair,brush,5.12,50,5.72,50
2j,2j,within-subtype,adult,childhood,miscarriage,fetus,2.62745098039,51,1.94,50
8c,8h,between-subtype,gas,furnace,immunization,disease,2.62,50,2.08,50
4f,4f,within-subtype,miniscule,big,ancient,modern,6.12,50,5.82,50
9h,9h,within-subtype,introduction,conclusion,narrative,epilogue,4.54,50,4.70588235294,51
7c,7c,within-subtype,programmer,computer,barber,scissors,6.3,50,6.16,50
7f,8a,between-type,medal,hero,repetition,boredom,2.74,50,2.44,50
7f,7f,within-subtype,prescription,patient,ribbon,winner,5.46,50,5.2,50
2a,2a,within-subtype,shoe,sole,clock,hand,5.92,50,6.08,50
6f,6g,between-subtype,angry,smile,yell,softly,4.36,50,4.9,50
6f,6f,within-subtype,inarticulate,express,lethargic,run,4.34,50,5.0,50
8c,8h,between-subtype,electricity,lamp,fungicide,fungus,2.58,50,2.2,50
7f,7f,within-subtype,gift,recipient,award,winner,6.60784313725,51,6.29411764706,51
5d,5d,within-subtype,pensive,thought,lazy,indolence,4.3137254902,51,4.50980392157,51
7d,7d,within-subtype,row,boat,clean,house,4.58823529412,51,4.7,50
10d,10d,within-subtype,strategy,victory,choreography,performance,5.54,50,4.96,50
8f,8a,between-subtype,food,satiety,workout,sweat,4.74,50,4.8,50
4h,4c,between-subtype,crack,mirror,offend,appease,1.76,50,1.58,50
2e,2g,between-subtype,cooking,frying,atmosphere,gas,3.46,50,3.0,50
3d,3d,within-subtype,persuade,coerce,borrow,take,4.96,50,5.23529411765,51
8a,8a,within-subtype,accident,damage,injury,pain,6.18,50,6.18,50
7f,7e,between-subtype,check,employee,lecture,child,3.86,50,3.02,50
4f,4e,between-subtype,earsplitting,quiet,evil,good,5.84,50,6.0,50
6c,6h,between-subtype,famine,food,repair,damaged,3.29411764706,51,3.56,50
6d,6d,within-subtype,christian,atheist,childish,mature,5.64,50,5.24,50
2h,2i,between-subtype,scholar,books,famine,food,2.42,50,2.72,50
2b,6d,between-type,book,page,old,youth,2.26,50,2.02,50
9c,9a,between-subtype,library,reading,aquarium,fish,3.88,50,3.34,50
10e,10e,within-subtype,anatomy,bodies,anatomy,body,5.68,50,5.78,50
8f,8f,within-subtype,hug,comfort,medicine,recovery,6.04,50,5.54,50
9g,9e,between-subtype,adulthood,job,margin,paper,2.32,50,2.12,50
10c,4f,between-type,crown,king,freezing,warm,1.48,50,1.62,50
6h,6h,within-subtype,polish,tarnished,dress,naked,5.2,50,4.78,50
4f,4e,between-subtype,sterile,dirty,perplexed,certain,5.54,50,5.64,50
9d,9g,between-subtype,playground,slide,senescence,wheelchair,2.34,50,2.76,50
10b,10b,within-subtype,kiss,love,tears,sadness,6.4,50,6.2,50
10b,4g,between-type,tears,sadness,progressive,stagnant,1.84,50,1.86,50
10a,10a,within-subtype,red,stop,crown,sovereignty,4.27450980392,51,4.44,50
5g,5g,within-subtype,withdrawal,timid,kissing,loving,4.78,50,4.12,50
9i,9d,between-subtype,neck,necklace,war,weapon,4.24,50,4.18,50
4h,4d,between-subtype,tumor,body,under,over,1.66,50,1.54,50
9f,9f,within-subtype,winter,snow,winter,cold,5.42,50,4.64705882353,51
7f,7e,between-subtype,award,winner,pay,debtor,3.88,50,4.9,50
9d,9d,within-subtype,office,telephone,office,computer,6.04,50,5.96078431373,51
10a,7h,between-type,shriek,panic,adoptee,certificate,2.25490196078,51,2.3,50
3g,2d,between-type,father,mother,funeral,corpse,2.02,50,1.58,50
