relation1,relation2,comparison_type,pair1_word1,pair1_word2,pair2_word1,pair2_word2,mean_rating,num_ratings
4b,4b,within-subtype,pretty,ugly,ugly,pretty,6.2,10
4b,3a,between-type,beautiful,hideous,pants,trousers,2.0,10
7c,7c,within-subtype,drummer,sticks,soldier,gun,6.8,10
3a,3a,within-subtype,beautiful,pretty,tedious,monotonous,6.7,10
3a,3a,within-subtype,clean,tidy,restroom,bathroom,5.54545454545,11
1a,1a,within-subtype,car,mustang,sweater,knit,3.58333333333,12
8a,8a,within-subtype,heater,warmth,sweating,odor,5.5,10
2a,2b,between-subtype,computer,chip,herd,cow,5.5,12
2a,2a,within-subtype,book,spine,foot,toe,5.4,10
2a,2a,within-subtype,bedroom,bed,building,wall,4.4,10
10a,10a,within-subtype,doctor,diagnosis,love,valentine,3.3,10
1a,5a,between-type,bread,wheat,professor,intellectual,3.6,10
10a,10a,within-subtype,crown,royalty,smoke,fire,4.4,10
2a,2a,within-subtype,bottle,water,computer,chip,3.3,10
6a,6a,within-subtype,diseased,health,object,intangible,3.75,12
5a,5a,within-subtype,athlete,fit,steel,strong,6.1,10
3a,3a,within-subtype,candy,sweets,careful,cautious,6.1,10
9a,9a,within-subtype,bus,passengers,cupboard,dishes,6.0,11
5a,5a,within-subtype,apple,red,cherry,red,6.16666666667,12
4c,4b,between-subtype,agree,argue,hairy,bald,5.0,10
8a,8a,within-subtype,question,answer,sweating,odor,4.2,10
6a,6a,within-subtype,classic,trendy,enthusiasm,apathetic,5.2,10
9a,9a,within-subtype,cupboard,dishes,fridge,food,6.45454545455,11
5c,5a,between-subtype,coward,fear,pillow,soft,3.7,10
2a,2a,within-subtype,bunch,grape,shoe,sole,3.4,10
2a,2a,within-subtype,lips,mouth,zebra,stripes,2.58333333333,12
8a,8a,within-subtype,accident,damage,loss,grief,5.1,10
6a,6a,within-subtype,object,intangible,sensitivity,boorish,3.9,10
8b,8a,between-subtype,anxiety,breathe,sadness,tears,4.5,10
5a,5a,within-subtype,cherry,red,pillow,soft,4.7,10
7c,7c,within-subtype,maid,broom,musician,instrument,6.36363636364,11
5a,6a,between-type,intellectual,professor,solid,liquid,1.45454545455,11
9a,9a,within-subtype,bank,money,hangar,airplane,6.0,11
8a,8a,within-subtype,education,expertise,repetition,boredom,4.4,10
6a,6a,within-subtype,empty,full,fire,cold,4.54545454545,11
7c,7c,within-subtype,gun,shooter,housekeeper,broom,3.7,10
8a,8a,within-subtype,explosion,damage,yelling,anger,5.2,10
1a,1a,within-subtype,appliance,refrigerator,clothing,shirt,6.8,10
3a,3a,within-subtype,house,dwelling,kid,child,5.9,10
5a,5a,within-subtype,intellectual,professor,steel,strength,4.5,10
5a,5a,within-subtype,flimsy,paper,sunburn,painful,3.54545454545,11
6a,6a,within-subtype,classic,trendy,voice,mute,4.45454545455,11
10a,10a,within-subtype,cross,christianity,distrust,camera,2.0,12
1a,4b,between-type,automobile,van,bald,hairy,1.45454545455,11
10a,3a,between-type,crown,royalty,house,dwelling,3.1,10
5a,5a,within-subtype,candy,sweet,flimsy,paper,4.3,10
6a,6a,within-subtype,best,inferior,careful,reckless,5.45454545455,11
10a,9a,between-type,handshake,agreement,hive,bees,2.18181818182,11
5a,5a,within-subtype,snow,cold,steel,tough,6.2,10
4b,4b,within-subtype,love,apathy,salty,sweet,4.18181818182,11
8a,8a,within-subtype,injury,pain,repetition,boredom,5.1,10
3a,3a,within-subtype,dress,frock,house,abode,5.6,10
2a,2a,within-subtype,book,spine,eye,lashes,5.25,12
9a,9a,within-subtype,store,shopper,water,ocean,4.3,10
3a,9a,between-type,candy,sweets,classroom,students,2.81818181818,11
6a,6a,within-subtype,hungry,satiety,object,tangible,2.7,10
3a,3a,within-subtype,cute,adorable,pretty,beautiful,6.1,10
10a,10a,within-subtype,distrust,camera,flag,nation,1.6,10
2a,2a,within-subtype,computer,mouse,shoe,sole,4.63636363636,11
3a,3a,within-subtype,clean,tidy,cute,adorable,6.2,10
5a,5a,within-subtype,apple,red,fire,heat,3.9,10
7c,7c,within-subtype,teacher,chalk,writer,pen,6.3,10
6a,6c,between-subtype,integrity,dishonest,sage,ignorance,3.5,10
4b,4b,within-subtype,excited,bored,fast,slow,5.70588235294,17
2a,2a,within-subtype,bedroom,bed,bird,feathers,5.33333333333,12
10a,10c,between-subtype,moisture,cloud,sound,recording,4.8,10
8a,8a,within-subtype,explosion,damage,heater,warmth,5.63636363636,11
1a,1a,within-subtype,sweater,knit,weapon,spear,3.4,10
2a,3a,between-type,freezer,ice,sleep,doze,3.27272727273,11
8a,7c,between-type,education,expertise,shooter,gun,3.0,10
2a,9a,between-type,bottle,water,cupboard,dishes,5.5,10
5a,5c,between-subtype,fizzy,pop,peace,armistice,3.61538461538,13
1a,4b,between-type,animal,pig,sleepy,energized,1.5,10
9a,9a,within-subtype,cupboard,dishes,school,children,5.6,10
5c,5a,between-subtype,expert,knowledge,snow,cold,5.2,10
6a,6a,within-subtype,object,intangible,solid,liquid,4.36363636364,11
1a,4b,between-type,clothing,shirt,hairy,bald,2.0,10
6a,6c,between-subtype,integrity,dishonest,poor,wealth,5.18181818182,11
3b,3a,between-subtype,affection,love,beautiful,pretty,5.9,10
3a,3a,within-subtype,house,dwelling,tedious,monotonous,3.9,10
5a,5a,within-subtype,fizzy,pop,plain,flat,3.9,10
1a,4b,between-type,bird,swan,bored,excited,2.0,10
8a,8a,within-subtype,eating,fullness,exercise,fatigue,6.5,10
1a,1a,within-subtype,weapon,spear,weather,rain,5.5,10
7c,7c,within-subtype,fairy,wand,musician,instrument,5.72727272727,11
8b,8a,between-subtype,anger,yell,stimulus,response,5.2,10
3a,3a,within-subtype,option,choice,seat,chair,6.3,10
6a,6c,between-subtype,best,inferior,wealth,debt,4.1,10
2a,7c,between-type,play,act,trainer,treats,2.7,10
10a,10a,within-subtype,cross,faith,thunder,storm,4.83333333333,12
2a,2a,within-subtype,book,spine,fish,fin,6.3,10
7d,7c,between-subtype,chant,prayer,maid,broom,2.78571428571,14
1a,1a,within-subtype,insect,ant,sweater,knit,3.36363636364,11
5a,5a,within-subtype,athlete,fit,heat,fire,3.5,10
4b,2a,between-type,black,white,city,block,1.5,10
7c,7c,within-subtype,drummer,sticks,preserver,lifeguard,4.4,10
2a,4b,between-type,computer,chip,excited,bored,1.5,10
2a,2a,within-subtype,bicycle,wheel,play,act,5.18181818182,11
4b,2a,between-type,bald,hairy,book,spine,1.63636363636,11
9a,9a,within-subtype,fish,aquarium,garden,flower,5.30769230769,13
9g,9a,between-subtype,youth,backpack,zoo,animals,4.1,10
10a,10c,between-subtype,badge,authority,menu,chef,3.0,10
8a,8a,within-subtype,cold,sneeze,germs,sickness,4.61538461538,13
10a,10a,within-subtype,cloud,moisture,thunder,storm,4.33333333333,12
8a,8a,within-subtype,fire,burns,study,learning,5.1,10
5a,6a,between-type,apple,red,fire,cold,1.2,10
3a,3a,within-subtype,cellphone,mobile,house,dwelling,5.9,10
10a,10a,within-subtype,buzzer,end,crown,royalty,3.6,10
8a,8a,within-subtype,eating,fullness,learning,study,5.0,10
2a,3a,between-type,movie,scene,music,tunes,5.2,10
10a,10a,within-subtype,bell,dinner,help,cry,3.7,10
3a,3a,within-subtype,cellphone,mobile,glass,cup,5.1,10
1a,4b,between-type,art,abstract,easy,difficult,2.1,10
9g,9a,between-subtype,adulthood,job,closet,clothes,3.6,10
9a,9a,within-subtype,closet,clothes,store,shopper,4.2,10
7c,7c,within-subtype,pitcher,baseball,soldier,gun,6.18181818182,11
3a,3a,within-subtype,dress,frock,flammable,inflammable,1.9,10
7c,7d,between-subtype,gardener,trowel,paint,canvas,4.30769230769,13
9a,9a,within-subtype,forest,trees,kitchen,food,6.4,10
9a,9a,within-subtype,garden,flower,hive,bees,6.1,10
10a,10a,within-subtype,alarm,action,green,go,4.76923076923,13
5a,7c,between-type,bone,brittle,shooter,gun,2.09090909091,11
9a,9a,within-subtype,bathroom,toilet,forest,trees,6.0,10
6a,6a,within-subtype,heat,cold,speed,slow,4.36363636364,11
4c,4b,between-subtype,offend,appease,thin,fat,6.08333333333,12
1a,1a,within-subtype,hair,brown,weapon,spear,4.7,10
8a,8a,within-subtype,exercise,fatigue,sweating,odor,5.3,10
2a,2a,within-subtype,bedroom,bed,dog,tail,3.9,10
5a,9a,between-type,bone,brittle,fridge,food,3.1,10
2a,2a,within-subtype,bird,feathers,bunch,grape,4.7,10
7c,7d,between-subtype,chef,knife,cook,food,3.7,10
2a,2a,within-subtype,bird,feathers,zebra,stripes,6.36363636364,11
7c,7c,within-subtype,doctor,stethoscope,trainer,treats,5.5,10
1a,4b,between-type,bird,swan,ugly,pretty,1.5,10
4b,4b,within-subtype,dull,bright,fat,thin,5.63636363636,11
4c,4b,between-subtype,eat,poop,good,bad,1.83333333333,12
3a,2a,between-type,cellphone,mobile,fish,fin,2.1,10
7c,7c,within-subtype,doctor,thermometer,shopper,cart,5.66666666667,12
2a,4b,between-type,bouquet,flower,hot,cold,1.0,12
2a,2b,between-subtype,bicycle,wheel,orchard,apple,4.64705882353,17
6a,6a,within-subtype,classic,trendy,liar,honest,5.9,10
3a,3b,between-subtype,make,manufacture,sedan,coupe,3.2,10
2b,2a,between-subtype,album,songs,zebra,stripes,5.6,10
7c,7c,within-subtype,barber,scissors,gardener,shovel,6.6,10
9a,9a,within-subtype,fish,aquarium,store,shopper,4.90909090909,11
3a,4b,between-type,boat,ship,love,apathy,2.66666666667,12
7c,7c,within-subtype,gun,shooter,police,gun,3.8,10
3a,3a,within-subtype,dress,frock,raise,elevate,3.9,10
2a,2a,within-subtype,jeans,zipper,zebra,stripes,4.81818181818,11
3a,3a,within-subtype,bathroom,restroom,careful,cautious,5.81818181818,11
2a,2a,within-subtype,eye,lashes,foot,toe,6.18181818182,11
8a,8a,within-subtype,sex,pregnancy,sweat,run,3.78571428571,14
2a,2a,within-subtype,book,spine,bouquet,flower,4.6,10
2a,2b,between-subtype,bookcase,shelf,library,books,5.25,12
1a,1a,within-subtype,animal,pig,couch,furniture,4.09090909091,11
6c,6a,between-subtype,famine,food,tidy,messy,3.2,10
8a,8a,within-subtype,showering,cleanliness,yelling,anger,4.9,10
10a,10a,within-subtype,cross,faith,green,go,4.5,10
9a,9g,between-subtype,garage,mechanic,youth,backpack,2.5,10
8a,6a,between-type,cold,sneeze,tidy,messy,1.9,10
10a,10a,within-subtype,pregnancy,baby,thunder,storm,4.3,10
4b,4b,within-subtype,bored,excited,sleepy,energized,3.4,10
5a,5a,within-subtype,cherry,red,fire,hot,3.5,10
10a,10a,within-subtype,cross,christianity,flag,nation,6.1,10
2a,2b,between-subtype,bunch,grape,plot,garden,3.8,10
2a,2b,between-subtype,bird,wings,school,fish,2.45454545455,11
9a,9a,within-subtype,farm,tractor,garage,mechanic,5.4,10
10a,6a,between-type,flag,nation,heat,cold,2.07692307692,13
2a,2b,between-subtype,bird,feathers,plot,garden,3.4,10
9a,9a,within-subtype,bank,money,clothes,dresser,4.7,10
7c,7c,within-subtype,gardener,trowel,preserver,lifeguard,4.46153846154,13
6a,6a,within-subtype,best,inferior,sight,invisible,4.2,10
8b,8a,between-subtype,happiness,smile,heater,warmth,5.2,10
3a,3a,within-subtype,cellphone,mobile,pretty,beautiful,4.76923076923,13
2a,4b,between-type,computer,chip,dirty,clean,1.6,10
5a,5a,within-subtype,flimsy,paper,steel,tough,4.7,10
10c,10a,between-subtype,bouquet,garden,handshake,agreement,3.7,10
4b,4b,within-subtype,bright,dark,fast,slow,5.63636363636,11
2a,2a,within-subtype,dog,tail,toe,foot,3.90909090909,11
3a,3a,within-subtype,cellphone,mobile,sleep,doze,5.5,10
1a,1a,within-subtype,appliance,refrigerator,bird,swan,6.6,10
3a,3a,within-subtype,candy,sweets,cute,adorable,5.54545454545,11
7c,7d,between-subtype,driver,car,row,boat,4.8,10
3a,3a,within-subtype,dress,frock,kid,child,6.36363636364,11
6a,6a,within-subtype,empty,full,voice,mute,4.8,10
8a,8a,within-subtype,disagreement,anger,exercise,fatigue,4.8,10
2a,9a,between-type,computer,mouse,farm,tractor,5.3,10
4b,4b,within-subtype,easy,difficult,salty,sweet,4.4,10
10a,10a,within-subtype,handshake,agreement,love,valentine,4.30769230769,13
8a,8b,between-subtype,exercise,fatigue,thirst,drink,3.36363636364,11
9a,4b,between-type,clothes,dresser,good,bad,1.45454545455,11
2a,2a,within-subtype,play,act,shoe,sole,4.8,10
6a,6a,within-subtype,forgiving,vengeful,object,intangible,3.2,10
10a,8a,between-type,badge,authority,exercise,fatigue,3.15384615385,13
2a,1a,between-type,computer,mouse,sweater,knit,2.70588235294,17
7c,7c,within-subtype,chef,knife,writer,pen,6.9,10
4b,4b,within-subtype,bad,good,thin,fat,5.90909090909,11
3a,3a,within-subtype,house,dwelling,make,manufacture,4.8,10
10c,10a,between-subtype,artwork,replica,flashing,caution,2.27272727273,11
8b,8a,between-subtype,disease,medicate,sex,pregnancy,2.81818181818,11
2a,2a,within-subtype,bookcase,shelf,bunch,grape,5.1,10
7c,7d,between-subtype,policeman,handcuffs,write,paper,3.3,10
1a,1a,within-subtype,animal,pig,dog,chihuahua,5.5,10
7c,5a,between-type,doctor,thermometer,professor,intellectual,3.63636363636,11
2a,2a,within-subtype,bicycle,wheel,cat,whiskers,5.91666666667,12
9a,9a,within-subtype,fish,aquarium,school,children,4.6,10
4b,4b,within-subtype,tall,short,thin,fat,6.3,10
1a,1a,within-subtype,automobile,van,school,university,5.92307692308,13
7c,7c,within-subtype,chef,knife,gardener,shovel,6.2,10
7c,9a,between-type,doctor,stethoscope,library,books,3.81818181818,11
4b,9a,between-type,beautiful,hideous,hive,bees,1.33333333333,12
4c,4b,between-subtype,abandon,embrace,good,bad,5.3,10
10a,10a,within-subtype,moisture,cloud,thunder,storm,5.81818181818,11
2a,2a,within-subtype,building,wall,tastebuds,tongue,3.81818181818,11
9a,9a,within-subtype,fish,aquarium,forest,trees,4.0,10
4b,4b,within-subtype,hairy,bald,tall,short,5.9,10
2a,3a,between-type,bouquet,flower,pants,trousers,4.5,10
10a,10a,within-subtype,moisture,cloud,wrinkle,age,4.0,10
4b,4b,within-subtype,easy,difficult,sleepy,energized,5.09090909091,11
2a,2a,within-subtype,cat,whiskers,toe,foot,4.5,12
7c,7c,within-subtype,gardener,shovel,lawyer,books,6.2,10
9a,9a,within-subtype,bus,passengers,refrigerator,food,6.6,10
1a,1a,within-subtype,clothing,shirt,wheat,bread,4.3,10
2a,2a,within-subtype,bouquet,flower,shoe,sole,4.90909090909,11
1a,1a,within-subtype,bird,swan,oak,tree,5.6,10
5a,5a,within-subtype,baby,bald,clay,malleable,4.0,10
1a,1a,within-subtype,automobile,van,color,red,5.7,10
2a,2a,within-subtype,bookcase,shelf,shoe,sole,5.63636363636,11
6c,6a,between-subtype,destitution,abundance,honest,liar,5.1,10
4b,2a,between-type,hungry,satiated,shoe,sole,1.83333333333,12
2a,2a,within-subtype,computer,chip,lips,mouth,4.0,11
8a,8a,within-subtype,disagreement,anger,eating,fullness,4.81818181818,11
5a,5a,within-subtype,fire,heat,prince,charming,2.6,10
8a,8a,within-subtype,hit,injury,yelling,anger,4.3,10
7c,7c,within-subtype,maid,broom,police,gun,6.57142857143,14
4b,3a,between-type,hungry,satiated,restroom,bathroom,2.5,12
1a,3a,between-type,dog,poodle,house,dwelling,4.07692307692,13
6a,6a,within-subtype,fire,cold,forgiving,vengeful,5.3,10
2a,2b,between-subtype,city,block,troop,soldier,4.88235294118,17
6a,6c,between-subtype,color,invisible,worry,satisfaction,2.9,10
4b,4b,within-subtype,bald,hairy,excited,bored,4.90909090909,11
1a,4b,between-type,animal,carabao,black,white,2.0,12
3a,3a,within-subtype,cute,adorable,seat,chair,5.9,10
4b,4b,within-subtype,dark,light,easy,difficult,5.8,10
3a,4b,between-type,clean,tidy,sleepy,energized,3.0,11
9a,9a,within-subtype,aquarium,fish,fish,aquarium,5.84615384615,13
4b,4c,between-subtype,bright,dark,walk,sit,4.4,10
9a,9a,within-subtype,bathroom,toilet,garage,mechanic,4.3,10
7c,7c,within-subtype,fairy,wand,runner,sneakers,5.81818181818,11
6a,6a,within-subtype,honest,liar,solid,liquid,5.25,12
3a,3a,within-subtype,glass,cup,music,tunes,5.2,10
2a,2b,between-subtype,dog,tail,paragraph,word,4.6,10
3a,3a,within-subtype,run,sprint,tedious,monotonous,6.4,10
9a,9g,between-subtype,farm,tractor,laughter,parenthood,2.3,10
6a,6a,within-subtype,integrity,dishonest,liquid,solid,4.08333333333,12
8a,8a,within-subtype,boredom,repetition,yelling,anger,4.36363636364,11
2a,2a,within-subtype,lips,mouth,toe,foot,5.83333333333,12
6a,6a,within-subtype,integrity,dishonest,object,intangible,3.7,10
8a,8a,within-subtype,education,expertise,exercise,fatigue,5.45454545455,11
8a,8a,within-subtype,fire,burns,sex,pregnancy,4.5,10
5a,5a,within-subtype,intellectual,professor,priest,holy,5.6,10
4b,4b,within-subtype,bald,hairy,dark,light,6.8,10
10a,10a,within-subtype,cross,christianity,moisture,cloud,3.91666666667,12
9a,9g,between-subtype,bus,passengers,parenthood,worry,3.8,10
10a,10a,within-subtype,cross,faith,flashing,caution,4.9,10
4b,4c,between-subtype,bright,dark,verbose,silent,5.2,10
2a,2a,within-subtype,bird,wings,freezer,ice,3.54545454545,11
3b,3a,between-subtype,coupe,sedan,run,sprint,4.09090909091,11
6a,6a,within-subtype,bounty,scarce,diseased,health,4.0,10
9a,9a,within-subtype,garden,flower,space,planets,6.58333333333,12
10a,7c,between-type,alarm,action,housekeeper,broom,3.6,10
7c,7c,within-subtype,fairy,wand,teacher,chalk,5.92307692308,13
3a,3a,within-subtype,cellphone,mobile,spin,twirl,6.1,10
1a,1e,between-subtype,automobile,van,snake,Cobra,5.72727272727,11
2a,2a,within-subtype,book,spine,hand,finger,5.0,10
6a,6a,within-subtype,careful,reckless,voice,mute,5.28571428571,14
4b,4b,within-subtype,dark,light,thin,fat,6.41666666667,12
2a,2a,within-subtype,computer,chip,zebra,stripes,5.6,10
2a,2a,within-subtype,bottle,water,cat,whiskers,2.7,10
8a,8a,within-subtype,eating,fullness,tiredness,sleep,5.14285714286,14
4b,4c,between-subtype,black,white,injure,heal,3.8,10
